comentario,valor,equivalente
Mal direccion,N,0
No espera la unidad,N,0
Se canceló la cartera ,N,0
Ya listo compañero ,P,2
Me canceló el cliente ,N,0
No sale ,N,0
Entrega de encomienda,P,2
Bo ay como llevar 5,N,0
el cliente no asoma  ,N,0
Bueno,P,2
No espera,N,0
Se fue en otro taxi😥,N,0
Cliente no salio ,N,0
Bien,P,2
No se encontró el cliente ,N,0
Mal dirección,N,0
Problemas con el gps,NEU,1
El cliente me hace llegar a la casa y a querido encomienda de comida ,N,0
Se canceló la cartera ,N,0
Qwwwerrtyqww223kkkkjhbhb,NEU,1
no salio el cliente y no.hay señal,N,0
Aplasta el botón de abordar ,P,2
Si estpy con el cliente,P,2
Mal ubicación,N,0
No sale ni contesta ,N,0
Me retiro el clirnte no aparese,N,0
Cacelo La Carera De la Casa Blanca ,N,0
Nunca salio ,N,0
Llantas Baja S,NEU,1
Bueno,P,2
El cliente cancela la carrera,N,0
excelente ,P,2
Ubica mal la dirección ,N,0
Mal Cliente solicita y luego cancela,N,0
Muy amable y gentil,P,2
Excelente ,P,2
Cancela la solicitud,N,0
No se encuentra en el punto,N,0
Bueno,P,2
cliente no atendió llamado ,N,0
Pesimo,N,0
Muy amable y gentil,P,2
Le Escribí Y Nunca Contesto ,N,0
No cohinside la dirección y no contesta el usuario,N,0
No prende el carro ,NEU,1
No contesta el cliente para confirmar ubicación,N,0
No sale el cliente esperando mucho tiempo,N,0
Mufyr hiyy hjgif,NEU,1
Yo No Ywvo Borrachos,N,0
Cliente no sale  solo hace pasar el tiempo,N,0
Feliz 2021 muy amable cordial y gentil,P,2
Quiere q lleve 6 pasajeros,N,0
Puso mal la ubicación y ,N,0
Ni sale la ubicación ,N,0
Excelente ,P,2
Client informa que ya esta a bordo,P,2
Estoy muy retirado ,N,0
No contesta ,N,0
Pide Otra Direccion,NEU,1
Cliente Da Mal La ubicación ,N,0
No responde las llamadas y no sale mucho tiempo de espera,N,0
cancela la carrera,N,0
Lzmdmdkdlldlds,NEU,1
Actitud desagradable ,N,0
Bien,P,2
Están 4 Adultos No Puedo Llevar,N,0
Me Retiro Quieren Viajar Seis Pasajeron,N,0
Mal la dirección ,N,0
Prolema mecanico en la via,NEU,1
El camino esta feo y el taxi es bajito disculpe,NEU,1
Xjgkho yrurr juffu,NEU,1
Fguiolgghjkkkkkkk,NEU,1
Se realizo la carrera ,P,2
No espera ,N,0
Pide el taxi y nunca sale más hace perder el tiempo ,N,0
Cliente da mai la direcsion,N,0
Mal la direccion,N,0
No le recogí ,N,0
Con el cliente,P,2
Cancela solicitud,N,0
Hhhhhhhhhhhh,NEU,1
Falla en una llanta,N,0
Cliente  kataxi,NEU,1
Nunk salio,N,0
Cvkydyojjjkjyhu,NEU,1
1se va en otro taxi,N,0
Estado etílico ,N,0
No puedo llegatr,N,0
Molesto Desea Viajar Adelante ,N,0
No le recogi al cliente ,N,0
Bien ,P,2
Neumáticos bajo,N,0
Esta Mal La Dirección ,N,0
Llanta Baja Me Quede ,N,0
Se va en otra unidad actitud desagradable no se fija en las placas ,N,0
El cliente se ha retirado,N,0
Llanta baja llanta baja,NEU,1
Cliente  canceló ,N,0
No vale la dirección texas se,N,0
Carrera finalizada con exito,P,2
Usuario Ya No Quiso Ktaxi,N,0
Cliente satisfecho ,P,2
Carrera finalizada con exito,P,2
Nnnnnjjjjjjjjj,NEU,1
Llanta Explotada ,NEU,1
Llanta bajaa,NEU,1
Juega con la aplicación azutaxi ,N,0
Esta en otro lugar y el GPS indica otra dirección ,N,0
Ya llegando,NEU,1
Problemas del carro,NEU,1
Buen cliente ,P,2
Rhddcgjfd Chhehjgj Jjejfgjkhj,NEU,1
Otra direccion,N,0
Me puso abordo,NEU,1
Cliente solicita y no contesta las llamadas ni mensajes ,N,0
No espero la unidad ,N,0
Cancelo,N,0
No espero la unidad ,N,0
Gracias por la propina ,P,2
Gracias por venir ,P,2
No Sale El Cliente ,N,0
Cancelo ,N,0
JxñjxlhdlhzkgKg,NEU,1
No le el cliente ,N,0
Todo Lo que Necesito,N,0
nunca salió ,N,0
Hace iir de gana,N,0
El cliente quiso cancelar el viaje estuve llamando para ver si era verídico y nunca contestó ni tampoco los mensajes,N,0
El cliente puso mal la dirección,N,0
Zkzllhzvlxñh,NEU,1
Estoy. Lwjos. ,NEU,1
Cliente Se Ahido ,N,0
Problemas mecanicos,NEU,1
No sale ,N,0
Ahi me disculpan pero choritos   y tomaditos estan   evito mjor me retiro ,N,0
El Cliente Se Ha Ido ,N,0
No m indica direccion exacta tampoco responde las llamadas para preguntar ,N,0
J,NEU,1
Pone mal la dirección el cliente,N,0
Problemas mecanicos,NEU,1
........  n..u,NEU,1
No sale el cliente,N,0
Indica q esta abordo y lo llamo no contesta ,N,0
La carrera era de cala cala a icnorte de la melchor y me salió 53 pero cubre 12 que es lo q paga normalmente,NEU,1
El cliente no contesta las llamadas y no se puede llegar a la ubicación porque la avia está en mal estado y moneda resvala el carro,N,0
Llanta baja.,NEU,1
No Hay Cliente ,N,0
Esta mal el gps me marco en la coronel talbot y el cliente esta x la ordoñes lazo,N,0
Excelente dia ,P,2
Está en otra dirección,N,0
Fugiho yw635 ufugg,NEU,1
Excelente ,P,2
Exelente ,P,2
No Sale Ya Se A Ido,N,0
Ya Esta Servido El Clie ,P,2
Excelente usuario  ,P,2
No se activó el botón de cliente a gordo,NEU,1
El cliente esta YA abordo la aplicacipn se colgo ,NEU,1
Colpaso de aplicación,NEU,1
Mala Ubicación ,N,0
No sale el cliente y pone la refwrencia mal ubicada,N,0
Hace una llamada falsa ,N,0
No cancela completo ,N,0
Se ve en otto carro sik ver las placas... siempre hace eso,N,0
Me Para Los De Tránsito ,NEU,1
Dirección incorrecta ,N,0
Feliz 2021,NEU,1
Cancela la carrera y tenía mal ingresada la dirección en todos los sentidos ,N,0
En el lugar esperando y cancela,N,0
El cliente  cuando está en el lugar dice que ya no necesita la unidad,N,0
Cliente Se Fue En Otro Taxi,N,0
Excelente suerte ,P,2
Bien,P,2
Dirección incorrecta,N,0
Dice que se va a demorar ,NEU,1
Huejutla uf rlslslduki,NEU,1
Excelente ,P,2
Se a ido en otra unidad,N,0
Se fue en otro carro ,N,0
Sin novedades,P,2
Dirección Errónea Del Cliente ,N,0
No Sale El Cliente ,N,0
Gracias por su atención y quedo atento a sus comentarios y sugerencias para el proceso de selección de personal para el cargo de asistente ,P,2
Mal La Direccion ,N,0
excelente ,P,2
Excelente dia ,P,2
El cliente Quería Mas Pronto ,NEU,1
Cancelo la solicitud,N,0
El cliwnte pide mal,N,0
8,NEU,1
Cliente cancela la carrera llegando al lugar que falta de respeto,N,0
no puedo llevar la encomienda porque así de encomienda compra el cliente me pone encomienda y ahorita mismo han dado no tengo dinero porque acabé de pagar unas llantitas,N,0
fallas del sistema ,NEU,1
Excelente ,P,2
excelente ,P,2
Excelente cliente,P,2
Ya estando en la ubicación me cancela hacer venir de gana una vergüenza está clienta,N,0
Cancelo,N,0
Ya estoy llegando ,NEU,1
U,NEU,1
Buen cliente ,P,2
Cliente no salio mas seriedad gracias ,N,0
Excelente ,P,2
Se preciono x equivocacion,N,0
Carreracincluuda,P,2
Problema mecánico   ,N,0
Carreara larga,N,0
Cancela solicitud ,N,0
Vcdggshjjjjbb,NEU,1
Sin novedades,P,2
no le llevo por llevar mascotas,N,0
No sale ase venir d gana ,N,0
Cliente problemático quiere 2 carreras sin parar el Tx y todavía que le espere hasta salir de mut. Azuay..,N,0
Nien,P,2
Nunca salió el cliente,N,0
Excelente ,P,2
Por favor tomar encuenta estos clientes cancelan la solicitud,N,0
excelente ,P,2
Canceló la solicitud porque el cliente quiera tipo compra y tengo que Cancelar y ya tuve un inconveniente con otro cliente que tengo que Cancelar y me ponen que tengo que no tengo ninguna devolución,N,0
Cliente no sale ni contesta los mensajes ,N,0
Bien,P,2
Cliente da mal dirección ,N,0
No desea la unidad,N,0
Exelente ,P,2
Cuando el cliente tiene mal escrito el número para poder llamarlo de no encontré la Carrera,N,0
Abordo cliente ,NEU,1
Cliente no responde mensajes,N,0
Cancelo la solicitud al llegar al lugar ,N,0
Cliente cancela la solicitud ya casi llegando a la ubicación ,N,0
Ya esta a vordo puedo salir,NEU,1
Cliente no esta ,N,0
Porfavor El Señor Se Enoja No Me Pude Parar Allí Y No Estaba El Señor Allí Estube Asiendo Tráfico Poreso Me Moví Más Adelante Y Se Puso A Gritar ,N,0
Cliente no salen,N,0
Hace Perder el tiempo ,N,0
Excelente ,P,2
Hdhdhzhdjffj,NEU,1
Cliente pide a chaullabamba y no contesta el telefono tampoco sale,N,0
Borrachos no pagan has y puercos,N,0
El cliente se a hido ,N,0
Cliente se ha ido,N,0
Se le da tiempo y cancela la carrera ,N,0
Cliente se a ido,N,0
El cliente esta mal ubicado y me cancelo ,N,0
Pesimo ya cuando estoy en el lugar... sale y en ves de siquiera hablar se va escondiendo y me cancela... pesima. Actitud,N,0
Mecanicos problemas,NEU,1
pone abordo... y nunca salio el cliente debe ser bloqueada,N,0
El cliente cancelo,N,0
Cliente me cancelo,N,0
Se equivoca e cliente ,N,0
Buen cliente ,P,2
Buenas Noches Disculpe ,P,2
No activo botón ,N,0
Nunca Salió El Cliente ,N,0
2//1 2021,NEU,1
CORRIENTEEEEEEEEER,NEU,1
Al cliente le expliqué y hay control de policías,N,0
No sale el cliente,N,0
No espera el tiempo y ya estando a 3 cuadras de estar en el lugar de la 13 y cañar,N,0
No puedo llegar,N,0
mala direccion,N,0
No nececita la unidad,N,0
Esta Mal Dada La Dirrecion,N,0
Cueb aervixio,NEU,1
Bien,P,2
El cliente se equivoco de direccion,N,0
No sale ,N,0
No Sale Ni Contesta La Llamada Telefónica ,N,0
No Me Responde,N,0
No kiere irse,N,0
No puedo acercarme al lugar,N,0
El Cliente Se Confundio ,N,0
Cancelo el client,N,0
El cliente se ha sido ,N,0
Excelente,P,2
No sale cliente ,N,0
Le llamé y no me contesta,N,0
Problema mecánica,NEU,1
Boron desactivado vjgiklmkhbbg,NEU,1
Estan asiendo operativo,NEU,1
Cliente quiere ir hacer una compra y regresar y que le cobre 2 no sale es doble carrera,N,0
Congestión vehicular ,NEU,1
Cancela que ya se fue en otro carro,N,0
No nunca salio ,N,0
Esta Mal Puesto La Ubicación ,N,0
Malo,N,0
 No espero la unidad,N,0
Nc xq cancelan 🥵,N,0
Cliente se fue,N,0
No dedesea,N,0
Ase ir de gana mal cliente Solo para decir q ya se fue estando en elpunto,N,0
No se resliza la carrera cliente finaliza la carrera,N,0
Esperando en el divilio perdida de  tiempo,N,0
Se fue en otro carro,N,0
El cliente se aido ,N,0
No espera ,N,0
Cliente no espera ,N,0
Exelente,P,2
Cliente Inidca Que Abordó Otra Unidad ,N,0
Dirección ewuivkcada,NEU,1
Exitos en su dia,P,2
El cliente no sale,N,0
Ya Esta Servido El Clie ,P,2
No Está Entra A Nero Es Más Arriba ,N,0
Pesimo cliente,N,0
Se activo La Cerrerq,NEU,1
Estoy con llanta baja,NEU,1
Se Le Llama Y No Contesta ,N,0
El cliente envía mensajes medio raros llegó a la cárcel y por eso no les tomo a bordo,N,0
Mala ubicación ,N,0
Cancelo ,N,0
 Ien,N,0
Gracias señor caballero,P,2
Zzmznnxxnnxx,NEU,1
El cliente no selecciona la opción de mascotas,NEU,1
No salió y no responde los mensajes ,N,0
"Disculpas, Está prohibido llevar más de 4 pasajeros",N,0
Sin frenos sin pastillas,NEU,1
Buno,P,2
Cliente satisfecho ,P,2
El Cliente Pide Tres Unidades A La Vez Por Favor Llamar La Atención ,N,0
Mal,N,0
Disculpe  amiga,NEU,1
Ya no necesita,NEU,1
Colapsado por favor,NEU,1
Cerro del pendiente,NEU,1
Pide y no espera ,N,0
Me dejas cancelar,NEU,1
muchos están 6 3 niños y 3 adultos ,N,0
Cancela la solicitud,N,0
Excelente servicio,P,2
Se poncho la llanta,NEU,1
5 personas No se puede llebar ,N,0
El gps guía mal la ubicación. ,N,0
Client satisfech,N,0
"No Responde Llamadas Ni Mensajes, Nunca Salió ",N,0
 Ntnrmgmgktp6glu,NEU,1
Se suben 4 pasajeros adultos pese a q le dije solo 3 lo peor todo el camino se vienen quejando y me dejan tirando la puerta ,N,0
Llego No Contesta. Ni El celular. Y No Me Respondes. Los SMS ,N,0
Disculpe Se Me Frizo La Pantalla No Veo Ubi Acion,NEU,1
El cliente cancelo la carrera ,N,0
No responde el cliente me retiro,N,0
No. Contesta. El Teléfono ,N,0
Exe,NEU,1
Amable y cordial,P,2
Indica que ya está A Bordo yo aún no llegó,N,0
Mal Cliente solicita se está picando y cancela,N,0
Estan 5 personas,N,0
Tarde es demasiado distante,N,0
No Salió El Cliente ,N,0
Se aydo no contesta ,N,0
Bien,P,2
El cliente nunca salió le estuve esperando como 10min y no me contestaba ,N,0
Linda tarde,P,2
Me cancelaron,N,0
"La ubicacion marca un error, la app necesita reiniciar",N,0
El taxi es sólo para cinco pasajeros y ellos me dijeron siete personas,N,0
No sale tampoco contesta mucho tiempo  noparece,N,0
Q,NEU,1
Cliente Cancelo ,N,0
Muy amable y gentil ,P,2
Canceló la carrera ,N,0
Cliente indica que cancela la carrera ,N,0
Muy amable y gentil,P,2
Buen cliente ,P,2
Estando en el lugar cancela. ,N,0
Mal Cliente Se Le Llama Y Me Indica Que El Numero Marcado Es Incorrecto Es La Segunda Vez Que Me Ase Lomismo En San Joaquín Mal Cliente ,N,0
Indica que sale pero nunca sale demasiada espera ,N,0
Ya Esta Servido El Clie ,P,2
Se Ha Ido El Cliente No Responde En El Tiempo Y Lugar No Esta ,N,0
Pide em un barrio y esta en otro ,N,0
Su q uh Y te rtyh H tu jjj,NEU,1
Malcriado usuario malcriado,N,0
No paga lo que es ,N,0
Colapsado la aplicación,NEU,1
Cliente juega con la aplicación ,N,0
Ubicación sistema operativo colapso,NEU,1
Son como 6 personas y todavía se pone bravo el señor ,N,0
8,NEU,1
Tyyyyyyyyyyyyuuuju,N,0
Cliente no espera la unidad ,N,0
No espera ,N,0
P,NEU,1
Gracias por preferimos somos Ktaxi ,P,2
la cliente se equivoca pide Daniel Alvares y ella esta en el norte ,N,0
El cliente no desea subirse por los vidrios de mi carro estan negros  dice que estoy con alguien por eso e puesto negro los vidrios ,N,0
Mal la uvicacion del cliente,N,0
Muy amable ,P,2
Buen cliente ,P,2
Cliente Cancelo ,N,0
Cliente nunca salio... mas le llamo y dice q espere y me hace esperar por las puras ,N,0
Muy amable ,P,2
5 pasajeros no Seles pued llevar,N,0
Cliente cancela la carrera dirigiéndome a verle,N,0
Pegada a la aplicativo maluso de la aplicativo,N,0
Gracias por preferirnos ,P,2
Vehiculo dañado,NEU,1
canvcelq ,N,0
Cliente satisfecho ,P,2
Gracias por preferirnos ,P,2
Amable,P,2
Yhhhhyyuuu,NEU,1
Se le dio la tarifa por el fuera de horario de circulación y hay control de los policías,N,0
No sale cliente. Toque de queda.,N,0
en el lugar y se va en otra unidad,N,0
Demasiado tráfico gracias ,NEU,1
Quieren irse 4 personas ,NEU,1
Gracias por preferirnos ,P,2
Perdon se me aplasto sin querer el boton pida d nuevo la unidad,NEU,1
No está en el lugar ,N,0
El Cliente No Es Pera,N,0
L,NEU,1
Nunca salio ,N,0
No Sale El botón para Marcar La Ubicación ,N,0
Se fue cliente,N,0
Estan entre 5 personas ,N,0
canceló la solicitud ,N,0
Buen cliente,P,2
Yav le   deje  en  su dertibo,NEU,1
Me volvió la dirección,NEU,1
Dghkzjloñ   Ñm,NEU,1
Cliente no sale ,N,0
Pésimo espera que llegue o cancela,N,0
Urururur,NEU,1
Buen cliente ,P,2
Me retiro porque no hay respuesta de la cliente,N,0
No salio,N,0
Se realsa la carrera ,NEU,1
Cliyente amable,P,2
sin novedades ,P,2
Exelente ,P,2
Cliente Cancelo ,N,0
Pesimo,N,0
Bueno,P,2
Se a retirado llama a cancelar,N,0
Yyyyyyyyyyyyyy,NEU,1
Problemas mecanicos,NEU,1
Excelente gracias ,P,2
Excelente gracias ,P,2
Si se realizó la carrera ,P,2
No salió mucho tiempo esperando ,N,0
Njjhygggggggggggv,NEU,1
No pude llegar por el tráfico en el mayorista mil disculpas ,NEU,1
sin novedades ,P,2
Huhhhh,NEU,1
No contedta el cliente ,N,0
Colapsado por favor la dirección,NEU,1
No llego el cliente,N,0
Cliente indica q esta a bordo..   y acabo de agarrar la carrera...  cuándo ponen asi es q se fueron y es negativa ,N,0
El cliente pide la unidad y nunca salió ,N,0
El boton de pasajero abordo no sé activo,NEU,1
No esperó la unidad ,N,0
Mucho trafico,NEU,1
canceló solicitud,N,0
Bien,P,2
el cliente se va en otro taxi,N,0
Excelente gracias ,P,2
2 veces cancela,N,0
Se a idoel cliente ,N,0
Como siempre ,NEU,1
El quiere llevar 2 mascotas,NEU,1
Solicita taxi y se va en otra unidad  no espera ,N,0
Se fue  en otro taxi ,N,0
Se demora en salir que pida la unidad cuando ya este lista,N,0
"Numero de celular de  lirnte no sirve, se apagó el mesajero,  liente bo sale nk responde nada",N,0
Estoy en al ubicacion pero no sale,N,0
Excelente,P,2
Sin novedades,P,2
Ya en el lugar cancela,N,0
Ponla la direccion bien,N,0
Exceso de pasajeros,N,0
Cliente cancela ,N,0
Me hace vfbir debalde,NEU,1
Ya estaba en la ubicacion y cancela ,N,0
Cliente demora en salir,N,0
Cliente Informa Que Esta A Bordo Pero No Esta En Mi Unidad,N,0
No parese  .............. ........,N,0
El cliente se ha ido,N,0
 no contesta el teléfono ,N,0
Muy amable ,P,2
No va a salir todavia el usuario me pago la negativa de la carrera. Excelente usuario...,P,2
Drhjkgjk,NEU,1
Si realice la carrera,P,2
El cliente se aido ,N,0
Mucho tiempo hace esperar alas unidades ,N,0
Cancela la solicitud,N,0
Mal direcionado ek ma0a,N,0
Pésima La Aplicación Manda Las Direcciones A Otro Lugar,N,0
exelente,P,2
Cliente Cancelo ,N,0
Bien,P,2
9ô,NEU,1
Acon el cliente,NEU,1
Ya Esta Servido El Clie ,P,2
Cliente encantado con el servicio,P,2
Pide la unidad y en la ubicacion cancela,N,0
Cliente cancelo la carrera,N,0
Se le hace la llamada e indica Que se le pedido solo ,N,0
Se Fueron Uuu,N,0
En vio mal la ubicación,N,0
Pide y se va sin decir nada,N,0
El ciiente soicuta dos servicios llega el radio taxi y se ve en ese,N,0
Termino la carrera antes de llagar a su casa,N,0
Jfchxhxohzlhxkhxh,NEU,1
No usa bien la aplicacion,N,0
 Cliente Canselo,N,0
Hay unaccidente en el sueño de bolivar,NEU,1
El cliente termina la carrera cuando uno esta en camino,N,0
Que no quiere el taxi ,N,0
cliente no esperó el tiempo marcado,N,0
No espero el cliente,N,0
Excelente servicio,P,2
Cliente No Ha sido No Salió ,N,0
El  cliente  se hido le llamo pero no contesta ,N,0
Cancela la solicitud,N,0
Excelente,P,2
Mal la dirección ,N,0
Excelente gracias ,P,2
"Llame Al Cliente, Contesto  Y Colgó La Llamada.  Le Espere 8 Min En La Ubicación Seleccionada. Cale El Oro Y Remigio Crespo. ",N,0
Bc,NEU,1
Cliente cancelo ,N,0
Cliente se molesta mucho porque no tengo para darle cambio de 20 dolares una carrera de 2 ,N,0
"Mal cliente, cancelo la solicitud ",N,0
Se Fue En Otro Taxi llegando ,N,0
Se va en otro taxiii,N,0
Llanta baja xfavor mil disculpas ,NEU,1
transacción exitosa,P,2
Mal educada,N,0
Me bajo la llanta,NEU,1
El Cliente Indica Q Ya Está En La Unidad Y Se Fue En Otra Unidad,N,0
Ya llego y cancela,N,0
No se ve x la lluvia,NEU,1
Le espere 10 minutos y direccion esta mal,N,0
Me cancelo y yo en el lugar,N,0
Llanta baja no ,NEU,1
Pinchado de goma,NEU,1
Mala actitud. Exceso de pasajeros.,N,0
I,NEU,1
Cliente paga menos de lo que marca el taximetro,N,0
Él cliente no sale,N,0
Cancel9 solicitud,N,0
La chica cansela la unidad estando llegando ,N,0
Cansela la solicitud ,N,0
Todo bien ,P,2
El Cliente Canselo ,N,0
Excelente servicio,P,2
No espera la unidad  .. se retira en otra unidad... ,N,0
Pone mal el GPS mala dirección ,N,0
El cliente no sale le espere más de 5 min ,N,0
Bien,P,2
No Sale El Cliente Le Llamó Y No Contesta ,N,0
Muy amable ,P,2
bien,P,2
No asoma el cliente,N,0
Excelente viaje ,P,2
Cliente dijo q camcele la carrera,N,0
Cliente satisfecho ,P,2
No avia la encomienda q pedia,NEU,1
Son 5 Personas No Ay Como Llevar ,N,0
ING AAA 2007 Se Lleva Mi Cliente ,NEU,1
Mucho traf8cp,NEU,1
Me quedé neumático bajo,NEU,1
Carro dañado,NEU,1
Gracias ,P,2
Muy amable y gentil,P,2
Mal La Dirección ,N,0
Conocoto,NEU,1
Me Cansela La Solivitud,N,0
Cancelo ,N,0
No contesta el celular ,N,0
Exelente ,P,2
👍 ,P,2
Cliente presiona abordar inmediatamente después de solicitar taxi. No espera,N,0
No se logró cobrar con tarjeta de crédito ,N,0
👍,P,2
Gracias ,P,2
No salio xfavir mas seriedad ,N,0
Cliente Cancela La Carrera ,N,0
No espera indica,N,0
Exelente,P,2
No espera pesimo cliente,N,0
Estoy con el cliente,P,2
Cancelo ,N,0
Gracias ,P,2
Ok,P,2
Esta mal  ubicado ,N,0
Carrera exitosa ,P,2
Exelente ,P,2
Buen Cliente ,P,2
Gos en otro lugar ,NEU,1
Thanks  ,P,2
Estoy Lejos Disculpe ,NEU,1
No sale n contesta,NEU,1
Exelente ,P,2
Platicador,N,0
cliente pone una direcion y esta en otra direccion,N,0
la cliente cancela estando la unidad en caminoTOMAR EN CUENTA SR ADMINISTRADOR,N,0
El local es ta serrado,NEU,1
Cliente se sube en otro taxi no asignado,N,0
Congestión Vehicular ,NEU,1
Esta mal la direccion,N,0
No contesta teléfono y cancelar cuando ya estoy en lugar,N,0
Excelente servicio,P,2
Ggfhnxgbvxn  xh gukvonvhm,NEU,1
Llego y cancela,N,0
Pésimo,N,0
No sé encuentra en la dirección indicada ,N,0
Mala la dirección ,N,0
Exelente ,P,2
Muy amable y gentil EXITOS EN SU DIA,P,2
Yhfhyggghjcggff,NEU,1
"La carrera no se realizó,  el cliente nunca apareció, colocó como a bordo para cancelar ",N,0
"No llego en el tiempo dado, cliente no espera, demasiado trafico imposible llegar, me retiro porque no hay nadie ",N,0
Problema De La Hubicacion,N,0
Ddkjdxjkxxkkx,NEU,1
Sin comentarios,NEU,1
Gracias buenas tardes,P,2
"No Coincide Dirección Con Ubicación Por Algo Se Le Llama Al Cliente Y No Contesta Como 6 Veces Xq No Se Sabe A Donde Dirigirse, Pésimo Que Sean Así Por Algo Se Les Llama Porque Algo Está Mal ",N,0
Me canceló la solicitud,N,0
Exelente ,P,2
E,NEU,1
Cliente no apareció,N,0
El cliente informa k  no necesita la unidad ,N,0
La clienta siempre llama y se va en otro carro,N,0
Cliente paga menos de lo que marca el taxímetro ,N,0
Guebada de cliente cancela,N,0
No Tiene Paciencia A Pedido 2 Veces ,N,0
Cliente No Aparece ,N,0
Bien,P,2
Quiere un camion,NEU,1
Fin de carrera,P,2
Una perdida de tiempo,N,0
Nbxkjxklbcguciihvj,NEU,1
Excelente servicio,P,2
El usuario no salió al parecer se trata de una llamada falsa ya le escribí y no me da ninguna respuesta,N,0
Llegue al lugar y cancelo,N,0
Carrera exitosa ,P,2
Pesima cliente no da bien la direcciom,N,0
Mil no puedo ir mucha congestio,NEU,1
Espere5minutos no pareceel cliente,N,0
Se Subió A Otro Taxi,N,0
Se va en otra unidad pésimo cliente a pesar q estuve en el lugar ,N,0
Muy amable ,P,2
....,NEU,1
Se a ido en otro carro particular,N,0
Se va en  otro taxi,N,0
Thryuyyjiuyij7utrefuii,NEU,1
Disculpe pero sinceramente de la tranca aca a la lenin 2 dólares es muy poco mínimo 3 ,NEU,1
Cancela la carrera ya llegando al lugar,N,0
Ya estaba llegando y cancela ,N,0
No espera,N,0
No debemos tener este tipo d clientes piden las unidades y c van en otras ,N,0
Llamas Dos Unidades ,N,0
Cliente dice por mensaje que ya va a salir pero cuando se le llama ya no contesta el móvil poco serio más hace dirigirse para no salir ,N,0
El cliente me puso a bordo,NEU,1
Cliente satisfecho ,P,2
No estuvi el sr,N,0
Cliente pide la unidad y cancela ya cuando estaba en la ubicacion,N,0
No prende la unidad,NEU,1
N,NEU,1
Que me dijeran verificando el número del cliente porque el número que llamo dice que no a pedido ,N,0
Pidió mal ,N,0
cliente llama y no sale yaya e varias veces ,N,0
Se fue sin indicar q pidoo otra unidad,N,0
Dios le bendiga tambien,P,2
Cliente indica está en los 3 puentes y el gps en el batán shopin,N,0
